table_schema,table_name,column_name,data_type,is_nullable,column_default
public,airport,id,uuid,NO,gen_random_uuid()
public,airport,airport_code,character varying,NO,null
public,airport,passenger_count,integer,YES,1
public,airport,special_requests,text,YES,null
public,airport,base_price,numeric,YES,0
public,airport,created_at,timestamp with time zone,YES,now()
public,airport,updated_at,timestamp with time zone,YES,now()
public,airport_price,airport_code,text,NO,null
public,airport_price,airport_category,text,NO,null
public,airport_price,airport_route,text,NO,null
public,airport_price,airport_car_type,text,NO,null
public,airport_price,price,numeric,NO,null
public,business_notifications,id,uuid,NO,gen_random_uuid()
public,business_notifications,notification_id,uuid,YES,null
public,business_notifications,business_type,character varying,NO,null
public,business_notifications,department,character varying,YES,null
public,business_notifications,urgency_level,integer,YES,1
public,business_notifications,estimated_duration,integer,YES,null
public,business_notifications,required_action,text,YES,null
public,business_notifications,checklist,jsonb,YES,null
public,business_notifications,related_users,ARRAY,YES,null
public,business_notifications,created_at,timestamp without time zone,YES,now()
public,business_notifications,updated_at,timestamp without time zone,YES,now()
public,car,id,uuid,NO,gen_random_uuid()
public,car,base_price,numeric,YES,null
public,car,created_at,timestamp with time zone,YES,now()
public,car,updated_at,timestamp with time zone,YES,now()
public,car,car_code,character varying,YES,null
public,car,special_requests,text,YES,null
public,car,car_count,integer,YES,1
public,car_price,car_code,text,NO,null
public,car_price,car_category,text,YES,null
public,car_price,cruise,text,YES,null
public,car_price,car_type,text,YES,null
public,car_price,price,numeric,YES,null
public,car_price,schedule,text,YES,null
public,car_price,passenger_count,text,YES,null
public,confirmation_status,id,uuid,NO,gen_random_uuid()
public,confirmation_status,reservation_id,uuid,NO,null
public,confirmation_status,quote_id,uuid,YES,null
public,confirmation_status,status,text,NO,'waiting'::text
public,confirmation_status,generated_at,timestamp with time zone,YES,null
public,confirmation_status,sent_at,timestamp with time zone,YES,null
public,confirmation_status,email_sent_to,text,YES,null
public,confirmation_status,created_at,timestamp with time zone,NO,now()
public,confirmation_status,updated_at,timestamp with time zone,NO,now()
public,cruise,id,uuid,NO,gen_random_uuid()
public,cruise,cruise_name,character varying,NO,null
public,cruise,departure_date,date,NO,null
public,cruise,return_date,date,NO,null
public,cruise,departure_port,character varying,YES,null
public,cruise,room_type,character varying,YES,null
public,cruise,adult_count,integer,YES,0
public,cruise,child_count,integer,YES,0
public,cruise,infant_count,integer,YES,0
public,cruise,special_requests,text,YES,null
public,cruise,base_price,numeric,YES,0
public,cruise,created_at,timestamp with time zone,YES,now()
public,cruise,updated_at,timestamp with time zone,YES,now()
public,customer_notifications,id,uuid,NO,gen_random_uuid()
public,customer_notifications,notification_id,uuid,YES,null
public,customer_notifications,customer_id,uuid,YES,null
public,customer_notifications,customer_name,character varying,YES,null
public,customer_notifications,customer_phone,character varying,YES,null
public,customer_notifications,customer_email,character varying,YES,null
public,customer_notifications,inquiry_type,character varying,YES,null
public,customer_notifications,service_type,character varying,YES,null
public,customer_notifications,response_deadline,timestamp without time zone,YES,null
